DAY,MONTH,MONTH_ID,YEAR,CAUSE,GROSS INCURRED AMOUNT
 3 ,May,5,1999,ACCIDENTAL DAMAGE,£176
 3 ,May,5,1999,THEFT,£968
 3 ,May,5,1999,FIRE,£250
 3 ,May,5,1999,ACCIDENTAL DAMAGE,£250
 3 ,May,5,1999,ACCIDENTAL DAMAGE,£119
 3 ,May,5,1999,ESCAPE OF WATER,£605
 3 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 3 ,May,5,1999,FIRE,£408
 4 ,May,5,1999,ESCAPE OF WATER,£598
 4 ,May,5,1999,FIRE,£69
 4 ,May,5,1999,ESCAPE OF WATER,£265
 5 ,May,5,1999,ACCIDENTAL DAMAGE,£40
 5 ,May,5,1999,ESCAPE OF WATER,£81
 5 ,May,5,1999,ACCIDENTAL DAMAGE,£176
 6 ,May,5,1999,ESCAPE OF WATER,£86
 6 ,May,5,1999,ACCIDENTAL DAMAGE,"£1,472"
 6 ,May,5,1999,WINDSTORM,£261
 7 ,May,5,1999,WINDSTORM,£100
 7 ,May,5,1999,WINDSTORM,£314
 7 ,May,5,1999,ESCAPE OF WATER,£366
 7 ,May,5,1999,ESCAPE OF WATER,£390
 7 ,May,5,1999,WINDSTORM,£0
 8 ,May,5,1999,THEFT,£314
 8 ,May,5,1999,WINDSTORM,"£2,150"
 8 ,May,5,1999,ACCIDENTAL DAMAGE,£779
 8 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 9 ,May,5,1999,THEFT,£125
 9 ,May,5,1999,FIRE,£285
 9 ,May,5,1999,ACCIDENTAL DAMAGE,£165
 9 ,May,5,1999,ACCIDENTAL DAMAGE,£357
 9 ,May,5,1999,ESCAPE OF WATER,"£3,269"
 9 ,May,5,1999,ACCIDENTAL DAMAGE,£176
 10 ,May,5,1999,ACCIDENTAL DAMAGE,£159
 10 ,May,5,1999,ACCIDENTAL DAMAGE,£20
 10 ,May,5,1999,FIRE,£85
 10 ,May,5,1999,ACCIDENTAL DAMAGE,£121
 10 ,May,5,1999,ACCIDENTAL DAMAGE,£154
 11 ,May,5,1999,ESCAPE OF WATER,£231
 11 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 11 ,May,5,1999,ACCIDENTAL DAMAGE,£205
 11 ,May,5,1999,ACCIDENTAL DAMAGE,£222
 11 ,May,5,1999,WINDSTORM,"£2,166"
 12 ,May,5,1999,FIRE,£80
 12 ,May,5,1999,THEFT,£173
 12 ,May,5,1999,ACCIDENTAL DAMAGE,£369
 12 ,May,5,1999,WINDSTORM,£98
 12 ,May,5,1999,FIRE,£205
 12 ,May,5,1999,WINDSTORM,"£1,003"
 12 ,May,5,1999,ESCAPE OF WATER,£0
 12 ,May,5,1999,ESCAPE OF WATER,£76
